================================================================================
排产结果详细报告
================================================================================

生成时间: 2025-11-14 16:37:07
最优Makespan: 14327
工件总数: 20
机器总数: 43
工序总数: 320

调机优化次数: 130
调机节省总时间: 4561.0

批处理次数: 26

--------------------------------------------------------------------------------
详细调度方案:
--------------------------------------------------------------------------------

工件J0-工序O0: 机器M2, 时间[1310, 1400], 时长90
工件J0-工序O1: 机器M10, 时间[2676, 3316], 时长640
工件J0-工序O2: 机器M4, 时间[5262, 5664], 时长402
工件J0-工序O3: 机器M8, 时间[8057, 8389], 时长332
工件J0-工序O4: 机器M9, 时间[9243, 9265], 时长22
工件J0-工序O5: 机器M13, 时间[9265, 9285], 时长20
工件J0-工序O6: 机器M36, 时间[9365, 9657], 时长292
工件J0-工序O7: 机器M19, 时间[11601, 11781], 时长180
工件J0-工序O8: 机器M27, 时间[11941, 12071], 时长130
工件J0-工序O9: 机器M24, 时间[12071, 12111], 时长40
工件J0-工序O10: 机器M41, 时间[12111, 12191], 时长80
工件J0-工序O11: 机器M28, 时间[12191, 12231], 时长40
工件J0-工序O12: 机器M29, 时间[12231, 12261], 时长30
工件J0-工序O13: 机器M30, 时间[13061, 13261], 时长200
工件J1-工序O0: 机器M1, 时间[380, 470], 时长90
工件J1-工序O1: 机器M10, 时间[2676, 3316], 时长640
工件J1-工序O2: 机器M5, 时间[7352, 7704], 时长352
工件J1-工序O3: 机器M8, 时间[8721, 9053], 时长332
工件J1-工序O4: 机器M9, 时间[9405, 9425], 时长20
工件J1-工序O5: 机器M13, 时间[9465, 9485], 时长20
工件J1-工序O6: 机器M35, 时间[9485, 9777], 时长292
工件J1-工序O7: 机器M19, 时间[11241, 11421], 时长180
工件J1-工序O8: 机器M27, 时间[11811, 11941], 时长130
工件J1-工序O9: 机器M24, 时间[11941, 11981], 时长40
工件J1-工序O10: 机器M41, 时间[11981, 12061], 时长80
工件J1-工序O11: 机器M28, 时间[12061, 12101], 时长40
工件J1-工序O12: 机器M29, 时间[12101, 12131], 时长30
工件J1-工序O13: 机器M30, 时间[12421, 12621], 时长200
工件J2-工序O0: 机器M2, 时间[1130, 1220], 时长90
工件J2-工序O1: 机器M10, 时间[4596, 5236], 时长640
工件J2-工序O2: 机器M4, 时间[6016, 6368], 时长352
工件J2-工序O3: 机器M6, 时间[7684, 8016], 时长332
工件J2-工序O4: 机器M9, 时间[9425, 9445], 时长20
工件J2-工序O5: 机器M13, 时间[9445, 9465], 时长20
工件J2-工序O6: 机器M35, 时间[10785, 11037], 时长252
工件J2-工序O7: 机器M19, 时间[11421, 11601], 时长180
工件J2-工序O8: 机器M27, 时间[11681, 11811], 时长130
工件J2-工序O9: 机器M24, 时间[11811, 11851], 时长40
工件J2-工序O10: 机器M41, 时间[11851, 11931], 时长80
工件J2-工序O11: 机器M28, 时间[11931, 11971], 时长40
工件J2-工序O12: 机器M29, 时间[11971, 12001], 时长30
工件J2-工序O13: 机器M30, 时间[12861, 13061], 时长200
工件J3-工序O0: 机器M1, 时间[1040, 1130], 时长90
工件J3-工序O1: 机器M10, 时间[4596, 5236], 时长640
工件J3-工序O2: 机器M4, 时间[6368, 6720], 时长352
工件J3-工序O3: 机器M8, 时间[9053, 9385], 时长332
工件J3-工序O4: 机器M9, 时间[9385, 9405], 时长20
工件J3-工序O5: 机器M13, 时间[9425, 9445], 时长20
工件J3-工序O6: 机器M35, 时间[10533, 10785], 时长252
工件J3-工序O7: 机器M19, 时间[10881, 11061], 时长180
工件J3-工序O8: 机器M27, 时间[11551, 11681], 时长130
工件J3-工序O9: 机器M24, 时间[11681, 11721], 时长40
工件J3-工序O10: 机器M41, 时间[11721, 11801], 时长80
工件J3-工序O11: 机器M28, 时间[11801, 11841], 时长40
工件J3-工序O12: 机器M29, 时间[11841, 11871], 时长30
工件J3-工序O13: 机器M30, 时间[12621, 12821], 时长200
工件J4-工序O0: 机器M2, 时间[950, 1040], 时长90
工件J4-工序O1: 机器M10, 时间[3956, 4596], 时长640
工件J4-工序O2: 机器M5, 时间[6648, 7000], 时长352
工件J4-工序O3: 机器M8, 时间[7675, 8057], 时长382
工件J4-工序O4: 机器M9, 时间[9345, 9365], 时长20
工件J4-工序O5: 机器M13, 时间[9365, 9385], 时长20
工件J4-工序O6: 机器M36, 时间[10161, 10413], 时长252
工件J4-工序O7: 机器M19, 时间[10521, 10701], 时长180
工件J4-工序O8: 机器M27, 时间[11161, 11291], 时长130
工件J4-工序O9: 机器M24, 时间[11291, 11331], 时长40
工件J4-工序O10: 机器M41, 时间[11331, 11411], 时长80
工件J4-工序O11: 机器M28, 时间[11581, 11621], 时长40
工件J4-工序O12: 机器M29, 时间[11621, 11651], 时长30
工件J4-工序O13: 机器M30, 时间[12221, 12421], 时长200
工件J5-工序O0: 机器M2, 时间[860, 950], 时长90
工件J5-工序O1: 机器M10, 时间[3316, 3956], 时长640
工件J5-工序O2: 机器M4, 时间[6720, 7072], 时长352
